के	क े |
एसएलआर	ए स ए ल आ र |
डरेगा	ड र े ग ा |
असीमित	अ स ी म ि त |
मूड	म ू ड |
राजे	र ा ज े |
आदमखोर	आ द म ख ो र |
हड्डियां	ह ड ् ड ि य ा ं |
एेसे	ए े स े |
आंसुओं	आ ं स ु ओ ं |
एमएएच	ए म ए ए च |
घंटो	घ ं ट ो |
सिन्धु	स ि न ् ध ु |
ओलिपिक्स	ओ ल ि प ि क ् स |
फैनल्स	फ ै न ल ् स |
गजट	ग ज ट |
लाइलाज	ल ा इ ल ा ज |
मदीवाला	म द ी व ा ल ा |
मराठवाड़ा	म र ा ठ व ा ड ़ ा |
मातृभाषाएं	म ा त ृ भ ा ष ा ए ं |
सोसायटी	स ो स ा य ट ी |
संबोधन	स ं ब ो ध न |
बरक्स	ब र क ् स |
सीआईएसएफ	स ी आ ई ए स ए फ |
धर्मेन्दर	ध र ् म े न ् द र |
शिमला	श ि म ल ा |
हॉर्न	ह ॉ र ् न |
बजाने	ब ज ा न े |
गंवाया	ग ं व ा य ा |
मशीनें	म श ी न े ं |
अबुंदंतिया	अ ब ु ं द ं त ि य ा |
सेट्स	स े ट ् स |
नैसर्गिक	न ै स र ् ग ि क |
नर्स	न र ् स |
साझेदारियां	स ा झ े द ा र ि य ा ं |
बैंंिकंग	ब ै ं ं ि क ं ग |
ट्रस्ट	ट ् र स ् ट |
गोल्स	ग ो ल ् स |
ससह	स स ह |
श्रंखलाबद्ध	श ् र ं ख ल ा ब द ् ध |
पाटीदार	प ा ट ी द ा र |
इच्छाएं	इ च ् छ ा ए ं |
सीधी	स ी ध ी |
निकटता	न ि क ट त ा |
जुड़ाव	ज ु ड ़ ा व |
बंधनों	ब ं ध न ो ं |
कमियां	क म ि य ा ं |
कट्टरपंथ	क ट ् ट र प ं थ |
बग	ब ग |
लालहो	ल ा ल ह ो |
यानों	य ा न ो ं |
रहाणे	र ह ा ण े |
काकादेव	क ा क ा द े व |
मैसेजिंग	म ै स े ज ि ं ग |
जीतती	ज ी त त ी |
हैकर्स	ह ै क र ् स |
बानबे	ब ा न ब े |
बीरेंदर	ब ी र े ं द र |
बाउंस	ब ा उ ं स |
बैक	ब ै क |
यूएस	य ू ए स |
हिमखंडों	ह ि म ख ं ड ो ं |
त्रिलोकपुरी	त ् र ि ल ो क प ु र ी |
पेट्रोल	प े ट ् र ो ल |
आधारों	आ ध ा र ो ं |
क्लीनिकल	क ् ल ी न ि क ल |
बेबो	ब े ब ो |
चूकते	च ू क त े |
उड़ता	उ ड ़ त ा |
पोस्टेड	प ो स ् ट े ड |
गोलाबारूद	ग ो ल ा ब ा र ू द |
रावी	र ा व ी |
ब्यास	ब ् य ा स |
अदालती	अ द ा ल त ी |
अग्रेसिव	अ ग ् र े स ि व |
पाखंडी	प ा ख ं ड ी |
फेवर	फ े व र |
जिज्ञासा	ज ि ज ् ञ ा स ा |
हजारी	ह ज ा र ी |
टिक	ट ि क |
अराइव	अ र ा इ व |
पर्सनली	प र ् स न ल ी |
बर्खास्तगी	ब र ् ख ा स ् त ग ी |
कटारिया	क ट ा र ि य ा |
झाडू	झ ा ड ू |
एकबारगी	ए क ब ा र ग ी |
परिप्रक्ष्य	प र ि प ् र क ् ष ् य |
टेलीफोन	ट े ल ी फ ो न |
जलमग्न	ज ल म ग ् न |
बंदियों	ब ं द ि य ो ं |
पवन	प व न |
ओपेरा	ओ प े र ा |
होशियारी	ह ो श ि य ा र ी |
पुरूष	प ु र ू ष |
कोर्सेस	क ो र ् स े स |
कुल्लु	क ु ल ् ल ु |
सेक्टर्स	स े क ् ट र ् स |
जनजातीय	ज न ज ा त ी य |
मेहनती	म े ह न त ी |
बर्फ़	ब र ् फ ़ |
उठाकर	उ ठ ा क र |
सोर्स	स ो र ् स |
बकर	ब क र |
अछूते	अ छ ू त े |
पाठक	प ा ठ क |
अर्थिक	अ र ् थ ि क |
घटक	घ ट क |
बीटा	ब ी ट ा |
रिम्बर्समेंट	र ि म ् ब र ् स म े ं ट |
निपटारा	न ि प ट ा र ा |
आत्महत्याओं	आ त ् म ह त ् य ा ओ ं |
फैट	फ ै ट |
मरते	म र त े |
कार्यशैली	क ा र ् य श ै ल ी |
इँसान	इ ँ स ा न |
रुप	र ु प |
देशवासियों	द े श व ा स ि य ो ं |
युद्धक	य ु द ् ध क |
रॉल्स	र ॉ ल ् स |
रॉयस	र ॉ य स |
घूस	घ ू स |
ट्रिलियन	ट ् र ि ल ि य न |
बालाकृष्णन	ब ा ल ा क ृ ष ् ण न |
सक्षम	स क ् ष म |
न्यूजलॉन्ड्री	न ् य ू ज ल ॉ न ् ड ् र ी |
रुका	र ु क ा |
पेडणेकरइन	प े ड ण े क र इ न |
चट्टान	च ट ् ट ा न |
घबराहट	घ ब र ा ह ट |
प्राथमिकताएं	प ् र ा थ म ि क त ा ए ं |
कुल्ले	क ु ल ् ल े |
भैंस	भ ै ं स |
जालान	ज ा ल ा न |
नटवारी	न ट व ा र ी |
आइसीडीएस	आ इ स ी ड ी ए स |
स्कूली	स ् क ू ल ी |
मुखपत्र	म ु ख प त ् र |
अपमानजनक	अ प म ा न ज न क |
कार्टून	क ा र ् ट ू न |
छापने	छ ा प न े |
बुवाई	ब ु व ा ई |
उपज	उ प ज |
सबा	स ब ा |
समाविष्ट	स म ा व ि ष ् ट |
खेलती	ख े ल त ी |
जिताया	ज ि त ा य ा |
फोरकॉस्टिंग	फ ो र क ॉ स ् ट ि ं ग |
गुफरान	ग ु फ र ा न |
उगाही	उ ग ा ह ी |
दुश्मनी	द ु श ् म न ी |
डायरेक्शन	ड ा य र े क ् श न |
जोश	ज ो श |
एमएस	ए म ए स |
प्रासंगिक	प ् र ा स ं ग ि क |
संहार	स ं ह ा र |
तड़का	त ड ़ क ा |
खिलाया	ख ि ल ा य ा |
डीएमआरसी	ड ी ए म आ र स ी |
हस्तांतरण	ह स ् त ा ं त र ण |
करायी	क र ा य ी |
मुतादबक	म ु त ा द ब क |
दपछले	द प छ ल े |
आंका	आ ं क ा |
सिंचित	स ि ं च ि त |
बुलवाया	ब ु ल व ा य ा |
ताकीद	त ा क ी द |
संशय	स ं श य |
ठहरा	ठ ह र ा |
मनसे	म न स े |
एआईपीएमटी	ए आ ई प ी ए म ट ी |
डालनी	ड ा ल न ी |
शार्टलिस्ट	श ा र ् ट ल ि स ् ट |
रितेश	र ि त े श |
नापने	न ा प न े |
बचानी	ब च ा न ी |
पोस्टिंग	प ो स ् ट ि ं ग |
स्वर्णिम	स ् व र ् ण ि म |
मधुरता	म ध ु र त ा |
कूटनीति	क ू ट न ी त ि |
पले	प ल े |
प्लांस	प ् ल ा ं स |
कैटेगरियों	क ै ट े ग र ि य ो ं |
संचरना	स ं च र न ा |
गुजारिश	ग ु ज ा र ि श |
ढ़ूंढ़ते	ढ ़ ू ं ढ ़ त े |
सेकेंड्री	स े क े ं ड ् र ी |
गिर्द	ग ि र ् द |
फातिमा	फ ा त ि म ा |
व्यंग्य	व ् य ं ग ् य |
आठवीं	आ ठ व ी ं |
धूम्रपान	ध ू म ् र प ा न |
वर्जित	व र ् ज ि त |
पटपड़गंज	प ट प ड ़ ग ं ज |
प्रमाणन	प ् र म ा ण न |
श्यामा	श ् य ा म ा |
स्टॉफ	स ् ट ॉ फ |
छलांग	छ ल ा ं ग |
दाम	द ा म |
चटकाकर	च ट क ा क र |
लामबंदी	ल ा म ब ं द ी |
मत्स्यपालन	म त ् स ् य प ा ल न |
मार्गदर्शन	म ा र ् ग द र ् श न |
भूमंडलीकरण	भ ू म ं ड ल ी क र ण |
लड़िकयों	ल ड ़ ि क य ो ं |
अवरोधक	अ व र ो ध क |
टीआरएस	ट ी आ र ए स |
गुरुदेव	ग ु र ु द े व |
अनुयायियों	अ न ु य ा य ि य ो ं |
सिद्धांतों	स ि द ् ध ा ं त ो ं |
यूनिस	य ू न ि स |
खोला	ख ो ल ा |
चीख	च ी ख |
विलयन	व ि ल य न |
हुंडई	ह ु ं ड ई |
कॉलिग	क ॉ ल ि ग |
ब्रिसबेन	ब ् र ि स ब े न |
बॉलिंग	ब ॉ ल ि ं ग |
उलझनों	उ ल झ न ो ं |
पुलिसिंग	प ु ल ि स ि ं ग |
मसांगी	म स ा ं ग ी |
ट्ननग	ट ् न न ग |
रिखा	र ि ख ा |
सहमा	स ह म ा |
बंदोबस्ती	ब ं द ो ब स ् त ी |
बौखलाहट	ब ौ ख ल ा ह ट |
प्रपोजलों	प ् र प ो ज ल ो ं |
समावेश	स म ा व े श |
